doi;coo_authors
10.48550/ARXIV.2303.02241;Kianoush Falahkheirkhah, Alex Lu, David Alvarez-Melis, Grace Huynh
;Anna Yeaton, Rahul G. Krishnan, Rebecca J. Mieloszyk, David Alvarez-Melis, Grace Huynh
10.48550/ARXIV.2204.08324;Anna Yeaton, Rahul G. Krishnan, Rebecca J. Mieloszyk, David Alvarez-Melis, Grace Huynh
10.48550/ARXIV.2205.09838;David Alvarez-Melis, Vikas K. Garg, Adam Tauman Kalai
10.48550/ARXIV.2208.02896;Neha Hulkund, Nicolò Fusi, Jennifer Wortman Vaughan, David Alvarez-Melis
10.48550/ARXIV.2209.15621;Frederike Lübeck, Charlotte Bunne, Gabriele Gut, Jacobo Sarabia del Castillo, Lucas Pelkmans, David Alvarez-Melis
10.48550/ARXIV.2210.03164;Ching-Yao Chuang, Stefanie Jegelka, David Alvarez-Melis
10.48550/ARXIV.2210.13630;David Alvarez-Melis, Nicolò Fusi, Lester Mackey, Tal Wagner
10.48550/ARXIV.2211.14469;Abhi Gupta, Ted Moskovitz, David Alvarez-Melis, Aldo Pacchiano
;David Alvarez-Melis, Harmanpreet Kaur, Hal Daumé III, Hanna M. Wallach, Jennifer Wortman Vaughan
;David Alvarez-Melis, Nicolò Fusi
;David Alvarez-Melis, Harmanpreet Kaur, Hal Daumé III, Hanna M. Wallach, Jennifer Wortman Vaughan
;David Alvarez-Melis, Yair Schiff, Youssef Mroueh
;David Alvarez-Melis, Youssef Mroueh, Tommi S. Jaakkola
;David Alvarez-Melis, Nicolò Fusi
;David Alvarez-Melis, Nicoló Fusi
;David Alvarez-Melis, Nicolò Fusi
;David Alvarez-Melis, Stefanie Jegelka, Tommi S. Jaakkola
;Guang-He Lee, David Alvarez-Melis, Tommi S. Jaakkola
;Charlotte Bunne, David Alvarez-Melis, Andreas Krause 0001, Stefanie Jegelka
;Guang-He Lee, Wengong Jin, David Alvarez-Melis, Tommi S. Jaakkola
;Guang-He Lee, Wengong Jin, David Alvarez-Melis, Tommi S. Jaakkola
;Charlotte Bunne, David Alvarez-Melis, Andreas Krause 0001, Stefanie Jegelka
;Guang-He Lee, David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Hal Daumé III, Jennifer Wortman Vaughan, Hanna M. Wallach
;Hailey James-Sorenson, David Alvarez-Melis
;David Alvarez-Melis, Youssef Mroueh, Tommi S. Jaakkola
;David Alvarez-Melis, Tommi S. Jaakkola, Stefanie Jegelka
10.18653/V1/D18-1214;David Alvarez-Melis, Tommi S. Jaakkola
;Chengtao Li, David Alvarez-Melis, Keyulu Xu, Stefanie Jegelka, Suvrit Sra
;David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Stefanie Jegelka, Tommi S. Jaakkola
;Guang-He Lee, David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Tommi S. Jaakkola
10.18653/V1/D17-1042;David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Tommi S. Jaakkola
;Chengtao Li, David Alvarez-Melis, Keyulu Xu, Stefanie Jegelka, Suvrit Sra
;David Alvarez-Melis, Tommi S. Jaakkola, Stefanie Jegelka
10.1162/TACL_A_00098;Tatsunori B. Hashimoto, David Alvarez-Melis, Tommi S. Jaakkola
;David Alvarez-Melis, Martin Saveski
;Tatsunori B. Hashimoto, David Alvarez-Melis, Tommi S. Jaakkola
;Nada Amin, John Burnham, François Garillot, Rosario Gennaro, Chhi mèd Künzang, Daniel Rogozin, Cameron Wong
