doi;coo_authors;num_authors;num_citation;num_institution;date;
10.18653/V1/D18-1214;David Alvarez-Melis, Tommi S. Jaakkola,;2;28;3;2020-01-01;
10.18653/V1/D17-1042;David Alvarez-Melis, Tommi S. Jaakkola,;2;72;1;2017-01-01;
10.1162/TACL_A_00098;Tatsunori B. Hashimoto, David Alvarez-Melis, Tommi S. Jaakkola,;3;0;2;2022-01-01;
10.3389/FRAI.2022.910216;Aleksandra Foksinska, Camerron M. Crowder, Andrew B. Crouse, Jeff Henrikson, William E. Byrd, Gregory Rosenblatt, Michael J. Patton, Kaiwen He, Thi K. Tran-Nguyen, Marissa Zheng, Stephen A. Ramsey, Nada Amin, John D. Osborne, Matthew Might,;14;2;6;2022-09-30;
10.1145/3498677;Yizhou Zhang, Nada Amin,;2;0;3;2023-01-11;
10.1145/3441684;Nada Amin,;1;0;1;2021-02-01;
10.1145/3426426;Guido Salvaneschi, Nada Amin,;2;0;2;2022-02-01;
10.1017/S0956796819000054;Tiark Rompf, Nada Amin,;2;1;2;2019-01-01;
10.1007/978-3-030-34175-6_12;Nada Amin, William E. Byrd, Tiark Rompf,;3;1;3;2019-01-01;
10.1145/3331543.3342586;Yan Han, Nada Amin, Neel Krishnaswami,;3;0;1;2019-08-23;
10.1145/3158140;Nada Amin, Tiark Rompf,;2;0;1;2023-03-03;
10.1145/3236762;Oliver Bracevac, Nada Amin, Guido Salvaneschi, Sebastian Erdweg, Patrick Eugster, Mira Mezini,;6;0;1;2022-11-29;
10.1145/3009837.3009866;Nada Amin, Tiark Rompf,;2;1;2;2021-10-01;
10.1145/3009837.3009867;Nada Amin, Tiark Rompf,;2;0;1;2023-01-15;
10.5075/EPFL-THESIS-7156;Nada Amin,;1;1;2;2021-08-01;
10.1007/978-3-319-30936-1_14;Nada Amin, Samuel Grütter, Martin Odersky, Tiark Rompf, Sandro Stucki,;5;2;2;2021-10-17;
10.1145/2983990.2984004;Nada Amin, Ross Tate,;2;2;2;2020-11-13;
10.1145/2983990.2984008;Tiark Rompf, Nada Amin,;2;0;2;2023-03-09;
10.1145/2784731.2784760;Tiark Rompf, Nada Amin,;2;1;2;2020-11-13;
10.4230/LIPICS.SNAPL.2015.238;Tiark Rompf, Kevin J. Brown, HyoukJoong Lee, Arvind K. Sujeeth, Manohar Jonnalagedda, Nada Amin, Georg Ofenbeck, Alen Stojanov, Yannis Klonatos, Mohammad Dashti 0001, Christoph Koch 0001, Markus Püschel, Kunle Olukotun,;13;18;4;2015-05-01;
10.1145/2660193.2660216;Nada Amin, Tiark Rompf, Martin Odersky,;3;0;3;2022-03-01;
10.1007/978-3-319-09099-3_2;Nada Amin, K. Rustan M. Leino, Tiark Rompf,;3;9;3;2014-01-01;
10.1145/2489804.2489808;Lukas Rytz, Nada Amin, Martin Odersky,;3;1;5;2022-01-01;
10.1145/2489837.2489848;Sandro Stucki, Nada Amin, Manohar Jonnalagedda, Tiark Rompf,;4;0;1;2020-01-01;
10.1145/2429069.2429128;Tiark Rompf, Arvind K. Sujeeth, Nada Amin, Kevin J. Brown, Vojin Jovanovic, HyoukJoong Lee, Manohar Jonnalagedda, Kunle Olukotun, Martin Odersky,;9;1;2;2021-10-01;
10.1007/S10990-013-9096-9;Tiark Rompf, Nada Amin, Adriaan Moors, Philipp Haller, Martin Odersky,;5;32;1;2012-03-01;
10.1007/978-3-642-31057-7_19;Grzegorz Kossakowski, Nada Amin, Tiark Rompf, Martin Odersky,;4;18;1;2012-01-01;
10.1109/ICCD.2009.5413185;Nada Amin, William Thies, Saman P. Amarasinghe,;3;4;1;2019-12-01;
10.1109/LSP.2021.3127471;Andrew H. Song, Bahareh Tolooshams, Demba E. Ba,;3;0;2;2022-01-01;
10.1109/TSP.2022.3186185;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba,;4;2;4;2022-01-01;
10.1109/ICASSP43922.2022.9747848;Alexander Lin, Andrew H. Song, Demba E. Ba,;3;0;2;2022-01-01;
10.1109/ICASSP43922.2022.9746177;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba,;4;0;4;2022-01-01;
10.1109/TNNLS.2020.3005348;Bahareh Tolooshams, Sourav Dey, Demba E. Ba,;3;11;2;2021-06-01;
10.1109/ICASSP39728.2021.9414443;Bahareh Tolooshams, Satish Mulleti, Demba E. Ba, Yonina C. Eldar,;4;1;2;2021-01-01;
10.1109/SSP49050.2021.9513828;Abiy Tasissa, Pranay Tankala, Demba E. Ba,;3;0;1;2021-07-11;
10.1109/FOCS54457.2022.00118;Sitan Chen, Jerry Li 0001, Brice Huang, Allen Liu,;4;0;3;2022-01-01;
10.4230/LIPICS.ITCS.2022.46;Sitan Chen, Zhao Song 0002, Runzhou Tao, Ruizhe Zhang 0001,;4;0;4;2022-01-01;
10.1145/3519935.3520050;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau,;4;0;4;2022-09-06;
10.1109/FOCS52979.2021.00063;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001,;4;9;4;2022-01-01;
10.1109/FOCS52979.2021.00073;Sitan Chen, Adam R. Klivans, Raghu Meka,;3;0;3;2022-01-01;
10.1109/FOCS52979.2021.00072;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau,;4;0;2;2022-01-01;
10.1145/3406325.3451078;Sitan Chen, Ankur Moitra,;2;1;1;2021-06-15;
10.1109/FOCS46700.2020.00070;Sébastien Bubeck, Sitan Chen, Jerry Li 0001,;3;3;2;2022-09-06;
10.1145/3357713.3384337;Sitan Chen, Jerry Li 0001, Ankur Moitra,;3;1;2;2020-06-08;
10.1145/3357713.3384333;Sitan Chen, Jerry Li 0001, Zhao Song 0002,;3;8;3;2020-06-08;
10.1137/1.9781611975482.134;Sitan Chen, Michelle Delcourt, Ankur Moitra, Guillem Perarnau, Luke Postle,;5;0;1;2022-01-01;
10.1145/3313276.3316375;Sitan Chen, Ankur Moitra,;2;0;2;2021-01-01;
10.1145/2897518.2897546;Sitan Chen,;1;4;1;2016-06-19;
10.1109/ICSSI.2013.55;Mei-Ting Jou, Yu-Pei Chen, Thai Dao, Ting-Jun Chen, Yi-Ling Chen,;5;0;1;2013-01-01;
10.1007/11731139_80;Wei-Ta Chen, Yi-Ling Chen, Ming-Syan Chen,;3;0;1;2006-01-01;
10.1007/978-3-030-75765-6_57;Szu-Yuan Cheng, Yi-Ling Chen, Mi-Yen Yeh, Bo-Tao Lin,;4;0;2;2021-01-01;
10.1145/2964284.2967184;Hui-Hung Wang, Yi-Ling Chen, Chen-Kuo Chiang,;3;5;2;2016-10-01;
10.1109/ICDM.2015.91;Yi-Ling Chen, Ming-Syan Chen, Philip S. Yu,;3;7;2;2016-01-05;
10.14778/1978665.1978671;De-Nian Yang, Yi-Ling Chen, Wang-Chien Lee, Ming-Syan Chen,;4;40;3;2011-01-01;
10.1109/ACCESS.2022.3151098;Axel Rodriguez, Yi-Ling Chen, Carlos Argueta,;3;6;2;2022-01-01;
10.1109/SMC53654.2022.9945522;Yiling Chen, Linjiang Zheng, Weining Liu,;3;0;1;2022-01-01;
10.1155/2021/5512957;Dianyuan Qi, Fangzhu Zou, Jing Zhao, Shaobin Sun, Huanbin Wei, Yiling Chen, Zhan Xia,;7;1;2;2021-01-01;
10.1007/978-3-030-73216-5_22;Chih-Hsien Fang, Yi-Ling Chen, Mi-Yen Yeh, Yan-Shuo Lin,;4;0;2;2021-01-01;
10.1109/GLOBECOM46510.2021.9685648;Yu-Hsin Chung, Yi-Ling Chen,;2;0;1;2021-01-01;
10.1007/978-3-030-82147-0_52;Yuhui Ye, Linjiang Zheng, Yiling Chen, Longquan Liao,;4;0;1;2021-01-01;
10.1007/978-3-030-35343-8_15;Shi-Jim Yen, Yi-Ling Chen, Hsin-I Lin,;3;0;1;2019-01-01;
10.1016/J.TELE.2018.03.022;Tsai-Yuan Chung, Yi-Ling Chen,;2;2;1;2022-01-31;
10.3390/SYM9040048;Guofeng Qin, Xiaodi Huang, Yiling Chen,;3;2;2;2017-04-01;
10.1109/LCOMM.2016.2560166;Weite Zhang, Shilie Zheng, Yiling Chen, Xiaofeng Jin, Hao Chi, Xianmin Zhang,;6;35;1;2016-07-01;
10.1109/SMI.2008.4548004;Yi-Ling Chen, Xiang Zhang,;2;0;2;2008-09-09;
