"doi";"coo_authors"
"10.1023/A:1010051815785";"Harold Abelson, R. Kent Dybvig, Christopher T. Haynes, Guillermo Juan Rozas, N. I. Adams IV, Daniel P. Friedman, Eugene E. Kohlbecker, Guy L. Steele Jr., David H. Bartley, Robert H. Halstead Jr., Don Oxley, Gerald J. Sussman, G. Brooks, Chris Hanson, Kent M. Pitman, Mitchell Wand"
"10.1145/63485.63486";"Harold Abelson, Michael Eisenberg, Matthew Halfant, Jacob Katzenelson, Elisha Sacks, Gerald J. Sussman, Jack Wisdom, Kenneth Yip"
"10.1145/3545947.3576267";"Xiaoxue Du, Robert Parks, Selim Tezel, Jeff Freilich, H. Nicole Pang, Hal Abelson, Cynthia Breazeal"
;"Julius Adebayo, Michael Muelly, Harold Abelson, Been Kim"
"10.48550/ARXIV.2212.04629";"Julius Adebayo, Michael Muelly, Hal Abelson, Been Kim"
"10.1016/J.CAEAI.2021.100012";"Ting-Chia Hsu, Hal Abelson, Natalie Lao, Yu-Han Tseng, Yi-Ting Lin"
"10.1007/S11412-021-09357-3";"Ting-Chia Hsu, Hal Abelson, Evan W. Patton, Shih-Chu Chen, Hsuan-Ning Chang"
;"Hal Abelson, Ross J. Anderson, Steven M. Bellovin, Josh Benaloh, Matt Blaze, Jon Callas, Whitfield Diffie, Susan Landau 0001, Peter G. Neumann, Ronald L. Rivest, Jeffrey I. Schiller, Bruce Schneier, Vanessa Teague, Carmela Troncoso"
"10.1145/3265747";"Mike Tissenbaum, Josh Sheldon, Hal Abelson"
"10.1145/3379921.3379928";"David C. Vladeck, Hal Abelson, Niva Elkin-Koren, Erik Neuenschwander, Jason Schultz, Christopher C. Yoo"
;"Mike Tissenbaum, Mark A. Sherman, Josh Sheldon, Hal Abelson"
;"Mike Tissenbaum, Josh Sheldon, Mark A. Sherman, Hal Abelson, David Weintrop, Kemi Jona, Mike S. Horn, Uri Wilensky, Satabdi Basu, Daisy Rutstein, Eric Snow, Linda Shear, Shuchi Grover, Irene A. Lee, Eric Klopfer, Gayithri Jayathirtha, Mia S. Shaw, Yasmin B. Kafai, Eni Mustafaraj, Will Temple, R. Benjamin Shapiro, Debora Lui, Clara Sorensen"
"10.1109/VLHCC.2016.7739687";"Benjamin Xie, Hal Abelson"
"10.1145/2814825";"Harold Abelson, Ross J. Anderson, Steven M. Bellovin, Josh Benaloh, Matt Blaze, Whitfield Diffie, John Gilmore, Matthew Green 0001, Susan Landau 0001, Peter G. Neumann, Ronald L. Rivest, Jeffrey I. Schiller, Bruce Schneier, Michael A. Specter, Daniel J. Weitzner"
"10.1093/CYBSEC/TYV009";"Harold Abelson, Ross J. Anderson, Steven M. Bellovin, Josh Benaloh, Matt Blaze, Whitfield Diffie, John Gilmore, Matthew Green 0001, Susan Landau 0001, Peter G. Neumann, Ronald L. Rivest, Jeffrey I. Schiller, Bruce Schneier, Michael A. Specter, Daniel J. Weitzner"
"10.1145/2824823.2824824";"Benjamin Xie, Isra Shabir, Hal Abelson"
"10.1145/2721914.2721935";"David Wolber, Harold Abelson, Mark Friedman"
"10.4108/ICST.MOBIQUITOUS.2014.258066";"Ilaria Liccardi, Joseph N. Pato, Daniel J. Weitzner, Hal Abelson, David De Roure"
"10.1109/PST.2014.6890917";"Ilaria Liccardi, Monica Bulger, Harold Abelson, Daniel J. Weitzner, Wendy E. Mackay"
"10.1109/MPRV.2012.12";"Paul Lukowicz, Sanjiv Nanda, Vidya Narayanan 0003, Hal Abelson, Deborah L. McGuinness, Michael I. Jordan"
"10.1145/2184512.2184628";"Jeff Gray 0001, Hal Abelson, David Wolber, Michèlle Friend"
"10.1145/2157136.2157206";"Hal Abelson"
"10.1145/2157136.2157437";"Hal Abelson, David Wolber, Ralph A. Morelli, Jeff Gray 0001, Chinma Uche"
;"David Wolber, Hal Abelson, Ellen Spertus, Liz Looney"
;"John Wilbanks, Hal Abelson"
"10.1007/978-0-387-30440-3_18";"Harold Abelson, Jacob Beal, Gerald J. Sussman"
"10.1145/1349026.1349043";"Daniel J. Weitzner, Harold Abelson, Tim Berners-Lee, Joan Feigenbaum, James A. Hendler, Gerald J. Sussman"
"10.1109/JPROC.2008.921609";"Hal Abelson, Phillip D. Long"
;"Daniel J. Weitzner, Harold Abelson, Tim Berners-Lee, Chris Hanson, James A. Hendler, Lalana Kagal, Deborah L. McGuinness, Gerald Jay Sussman, K. Krasnow Waterman"
"10.1145/332833.332842";"Harold Abelson, Don Allen, Daniel Coore, Chris Hanson, George Homsy, Thomas F. Knight Jr., Radhika Nagpal, Erik Rauch, Gerald J. Sussman, Ron Weiss"
"10.1002/(SICI)1099-0526(200001/02)5:3&lt;22::AID-CPLX5&gt;3.0.CO;2-J";"Harold Abelson, Nancy Forbes"
;"Harold Abelson, Gerald J. Sussman, Julie Sussman"
;"Hal Abelson, Ross J. Anderson, Steven M. Bellovin, Josh Benaloh, Matt Blaze, Whitfield Diffie, John Gilmore, Peter G. Neumann, Ronald L. Rivest, Jeffrey I. Schiller, Bruce Schneier"
;"Harold Abelson, Gerald J. Sussman"
;"Harold Abelson, Gerald J. Sussman, Julie Sussman"
"10.1109/JCIT.1990.128271";"Harold Abelson, Andrew A. Berlin, Jacob Katzenelson, William H. McAllister, Guillermo Juan Rozas, Gerald Jay Sussman"
"10.1017/S0890060400001220";"Terry Cline, Harold Abelson, Warren Harris"
"10.1145/6592.6595";"Andrea A. diSessa, Harold Abelson"
;"Harold Abelson, Gerald J. Sussman"
"10.1016/0166-218X(82)90029-4";"Harold Abelson, Andrzej Ehrenfeucht, James Fickett, Jan Mycielski"
"10.1145/358808.358814";"Harold Abelson, Peter Andreae"
"10.1145/322186.322200";"Harold Abelson"
"10.1016/0020-0190(79)90027-9";"Harold Abelson"
"10.1016/0304-3975(78)90004-X";"Harold Abelson"
;"Harold Abelson"
"10.1109/SFCS.1978.22";"Harold Abelson"
"10.1016/S0019-9958(77)90272-8";"Harold Abelson"
"10.1145/800191.805561";"Harold Abelson"
"10.1145/800191.805558";"Stuart D. Milner, Karl L. Zinn, Robert Parnes, Helen Hench, Thomas A. Dwyer, Harold Abelson"
"10.1145/2503210.2503269";"Sanath Jayasena, Saman P. Amarasinghe, Asanka Abeyweera, Gayashan Amarasinghe, Himeshi De Silva, Sunimal Rathnayake, Xiaoqiao Meng, Yanbin Liu"
"10.1145/3575693.3575742";"Jaeyeon Won, Charith Mendis, Joel S. Emer, Saman P. Amarasinghe"
"10.1145/3578360.3580257";"Lina Mezdour, Khadidja Kadem, Massinissa Merouani, Amina Selma Haichour, Saman P. Amarasinghe, Riyadh Baghdadi"
"10.1145/3578360.3580275";"Ariya Shajii, Gabriel Ramirez, Haris Smajlovic, Jessica Ray, Bonnie Berger, Saman P. Amarasinghe, Ibrahim Numanagic"
"10.1145/3579990.3580020";"Willow Ahrens, Daniel Donenfeld, Fredrik Kjolstad, Saman P. Amarasinghe"
"10.1145/3579990.3580014";"Ajay Brahmakshatriya, Saman P. Amarasinghe"
"10.1145/3543622.3578887";"Saman P. Amarasinghe"
"10.1145/3563338";"Stephen Chou, Saman P. Amarasinghe"
"10.1109/CGO53902.2022.9741280";"Ajay Brahmakshatriya, Saman P. Amarasinghe"
"10.1109/CGO53902.2022.9741282";"Daniel Donenfeld, Stephen Chou, Saman P. Amarasinghe"
"10.1145/3519939.3523442";"Peter Ahrens, Fredrik Kjolstad, Saman P. Amarasinghe"
"10.1145/3519939.3523701";"Yishen Chen, Charith Mendis, Saman P. Amarasinghe"
"10.48550/ARXIV.2209.05250";"Willow Ahrens, Daniel Donenfeld, Fredrik Kjolstad, Saman P. Amarasinghe"
"10.1145/3485505";"Rawn Henry, Olivia Hsu, Rohan Yadav, Stephen Chou, Kunle Olukotun, Saman P. Amarasinghe, Fredrik Kjolstad"
"10.1145/3445814.3446692";"Yishen Chen, Charith Mendis, Michael Carbin, Saman P. Amarasinghe"
"10.1109/CGO51591.2021.9370333";"Ajay Brahmakshatriya, Saman P. Amarasinghe"
