doi;coo_authors
10.23919/ECC.2019.8796279;Yuriy Zacchia Lun, Alessandro Abate, Alessandro D Innocenzo
;Yuriy Zacchia Lun, Alessandro Abate, Alessandro D Innocenzo
10.1016/J.IFACOL.2018.08.016;Yuriy Zacchia Lun, Jack Wheatley, Alessandro D Innocenzo, Alessandro Abate
;Yuriy Zacchia Lun, Jack Wheatley, Alessandro D Innocenzo, Alessandro Abate
10.1109/CDC.2017.8264642;Yuriy Zacchia Lun, Alessandro D Innocenzo, Alessandro Abate, Maria Domenica Di Benedetto
10.1145/2185632.2185673;Alessandro D Innocenzo, Alessandro Abate, Joost-Pieter Katoen
10.1109/TAC.2011.2160595;Alessandro Abate, Alessandro D Innocenzo, Maria Domenica Di Benedetto
10.1109/CDC.2008.4739270;Alessandro D Innocenzo, Alessandro Abate, Maria Domenica Di Benedetto
10.1007/978-3-540-78929-1_1;Alessandro Abate, Alessandro D Innocenzo, Maria Domenica Di Benedetto, Shankar Sastry 0001
10.1007/978-3-540-71493-4_48;Alessandro Abate, Alessandro D Innocenzo, Giordano Pola, Maria Domenica Di Benedetto, Shankar Sastry 0001
10.4230/LIPICS.CONCUR.2021.22;Muhammad Syifa ul Mufid, Andrea Micheli, Alessandro Abate, Alessandro Cimatti
10.1007/978-3-030-57628-8_10;Alessandro Abate, Alessandro Cimatti, Andrea Micheli, Muhammad Syifa ul Mufid
;Alessandro Abate, Alessandro Cimatti, Andrea Micheli, Muhammad Syifa ul Mufid
10.29007/RJWN;Goran Frehse, Alessandro Abate, Dieky Adzkiya, Anna Becchi, Lei Bu, Alessandro Cimatti, Mirco Giacobbe, Alberto Griggio, Sergio Mover, Muhammad Syifa ul Mufid, Idriss Riouak, Stefano Tonetta, Enea Zaffanella
10.1613/JAIR.1.14253;Thom S. Badings, Licio Romao, Alessandro Abate, David Parker 0001, Hasan A. Poonawala, Mariëlle Stoelinga, Nils Jansen 0001
10.48550/ARXIV.2301.01526;Thom S. Badings, Licio Romao, Alessandro Abate, David Parker 0001, Hasan A. Poonawala, Mariëlle Stoelinga, Nils Jansen 0001
10.48550/ARXIV.2301.02324;Lewis Hammond, James Fox, Tom Everitt, Ryan Carey, Alessandro Abate, Michael J. Wooldridge
10.48550/ARXIV.2301.06136;Alessandro Abate, Alec Edwards, Mirco Giacobbe, Hashan Punchihewa, Diptarko Roy
10.48550/ARXIV.2301.11683;Alessandro Abate, Alec Edwards, Mirco Giacobbe
10.48550/ARXIV.2302.13888;Wei-Chen Lee, David Hyland, Alessandro Abate, Edith Elkind, Jiarui Gan, Julian Gutierrez 0001, Paul Harrenstein, Michael J. Wooldridge
10.1016/J.AUTOMATICA.2022.110617;Abolfazl Lavaei, Sadegh Soudjani, Alessandro Abate, Majid Zamani 0001
10.1016/J.IC.2022.104979;Luca Geretti, Alessandro Abate, Pierluigi Nuzzo, Tiziano Villa
10.1016/J.IC.2022.104947;Ahmad Madary, Hamid Reza Momeni, Alessandro Abate, Kim G. Larsen
10.4230/LITES.8.2.0;Alessandro Abate, Uli Fahrenberg, Martin Fränzle
10.1109/TAC.2021.3118335;Yulong Gao, Alessandro Abate, Frank J. Jiang, Mirco Giacobbe, Lihua Xie, Karl Henrik Johansson
10.1109/TAC.2021.3090525;Muhammad Syifa ul Mufid, Dieky Adzkiya, Alessandro Abate
;Thom S. Badings, Alessandro Abate, Nils Jansen 0001, David Parker 0001, Hasan A. Poonawala, Mariëlle Stoelinga
10.24963/IJCAI.2022/476;Joar Skalse, Lewis Hammond, Charlie Griffin, Alessandro Abate
10.1007/978-3-031-16336-4_11;Mohammadhosein Hasanbeig, Daniel Kroening, Alessandro Abate
10.48550/ARXIV.2203.07475;Joar Skalse, Matthew Farrugia-Roberts, Stuart Russell 0001, Alessandro Abate, Adam Gleave
10.48550/ARXIV.2208.11838;Alessandro Abate, Yousif Almulla, James Fox, David Hyland, Michael J. Wooldridge
10.48550/ARXIV.2209.10341;Hosein Hasanbeig, Daniel Kroening, Alessandro Abate
10.48550/ARXIV.2209.15320;Daniel Jarne Ornia, Licio Romao, Lewis Hammond, Manuel Mazo Jr., Alessandro Abate
10.48550/ARXIV.2210.05989;Thom S. Badings, Licio Romao, Alessandro Abate, Nils Jansen 0001
10.48550/ARXIV.2212.00679;Luke Rickard, Thom S. Badings, Licio Romao, Nils Jansen 0001, Alessandro Abate
10.48550/ARXIV.2212.01926;Adrien Banse, Licio Romao, Alessandro Abate, Raphaël M. Jungers
10.48550/ARXIV.2212.03201;Joar Skalse, Alessandro Abate
10.48550/ARXIV.2212.13769;Joar Skalse, Lewis Hammond, Charlie Griffin, Alessandro Abate
10.1007/S10489-021-02658-Y;Alessandro Abate, Julian Gutierrez 0001, Lewis Hammond, Paul Harrenstein, Marta Kwiatkowska, Muhammad Najib, Giuseppe Perelli, Thomas Steeples, Michael J. Wooldridge
10.1109/LCSYS.2020.3005328;Alessandro Abate, Daniele Ahmed, Mirco Giacobbe, Andrea Peruffo
10.1007/S10817-020-09562-Z;Dario Cattaruzza, Alessandro Abate, Peter Schrammel, Daniel Kroening
10.1016/J.SYSARC.2021.102177;Mehran Alidoost Nia, Mehdi Kargahi, Alessandro Abate
10.1016/J.PEVA.2021.102207;Alessandro Abate, Roman Andriushchenko, Milan Ceska 0002, Marta Kwiatkowska
10.1109/TAC.2020.2992443;Sofie Haesaert, Fei Chen, Alessandro Abate, Siep Weiland
10.1109/TAC.2020.2975028;Luca Laurenti, Morteza Lahijanian, Alessandro Abate, Luca Cardelli, Marta Kwiatkowska
10.1109/TCST.2020.3018475;Andrea Peruffo, Emeline Guiu, Patrick Panciatici, Alessandro Abate
;Mohammadhosein Hasanbeig, Natasha Yogananda Jeppu, Alessandro Abate, Tom Melham, Daniel Kroening
10.1016/J.IFACOL.2021.08.508;Ahmad Madary, Hamid Reza Momeni, Alessandro Abate, Kim G. Larsen
10.29007/DPRV;Alessandro Abate, Henk A. P. Blom, Marc Bouissou, Nathalie Cauchi, Hassane Chraibi, Joanna Delicaris, Sofie Haesaert, Arnd Hartmanns, Mahmoud Khaled, Abolfazl Lavaei, Hao Ma, Kaushik Mallik, Mathis Niehage, Anne Remke, Stefan Schupp, Fedor Shmarov, Sadegh Soudjani, Adam Thorpe, Vlad Turcuman, Paolo Zuliani
;Lewis Hammond, Alessandro Abate, Julian Gutierrez 0001, Michael J. Wooldridge
;Lewis Hammond, James Fox, Tom Everitt, Alessandro Abate, Michael J. Wooldridge
10.1007/978-3-030-81688-9_1;Alessandro Abate, Mirco Giacobbe, Diptarko Roy
10.1007/978-3-030-85037-1_9;Andrea Peruffo, Alessandro Abate
;Alessandro Abate, Daniele Ahmed, Alec Edwards, Mirco Giacobbe, Andrea Peruffo
10.1145/3447928.3456646;Alessandro Abate, Daniele Ahmed, Alec Edwards, Mirco Giacobbe, Andrea Peruffo
10.25080/MAJORA-1B6FD038-008;James Fox, Tom Everitt, Ryan Carey, Eric D. Langlois 0002, Alessandro Abate, Michael J. Wooldridge
10.1145/3486611.3486653;Joe Brown, Alessandro Abate, Alex Rogers
10.1007/978-3-030-72016-2_20;Andrea Peruffo, Daniele Ahmed, Alessandro Abate
;Matthew Wicker, Luca Laurenti, Andrea Patane, Nicola Paoletti, Alessandro Abate, Marta Kwiatkowska
;Raphaël M. Jungers, Necmiye Ozay, Alessandro Abate
10.1007/978-3-030-85172-9;Alessandro Abate, Andrea Marin
;Abolfazl Lavaei, Sadegh Soudjani, Alessandro Abate, Majid Zamani 0001
;Lewis Hammond, Alessandro Abate, Julian Gutierrez 0001, Michael J. Wooldridge
;Lewis Hammond, James Fox, Tom Everitt, Alessandro Abate, Michael J. Wooldridge
;Mingyu Cai, Mohammadhosein Hasanbeig, Shaoping Xiao, Alessandro Abate, Zhen Kan
;Francesco Cosentino, Harald Oberhauser, Alessandro Abate
;Matthew Wicker, Luca Laurenti, Andrea Patane, Nicola Paoletti, Alessandro Abate, Marta Kwiatkowska
;Thom S. Badings, Alessandro Abate, Nils Jansen 0001, David Parker 0001, Hasan A. Poonawala, Mariëlle Stoelinga
10.1007/S00236-019-00359-1;Alessandro Abate, Iury Bessa, Lucas C. Cordeiro, Cristina David, Pascal Kesseli, Daniel Kroening, Elizabeth Polgreen
10.29007/MQZC;Alessandro Abate, Henk A. P. Blom, Nathalie Cauchi, Joanna Delicaris, Arnd Hartmanns, Mahmoud Khaled, Abolfazl Lavaei, Carina Pilch, Anne Remke, Stefan Schupp, Fedor Shmarov, Sadegh Soudjani, Abraham P. Vinod, Ben Wooding, Majid Zamani 0001, Paolo Zuliani
10.29007/BHWX;Lei Bu, Alessandro Abate, Dieky Adzkiya, Muhammad Syifa ul Mufid, Rajarshi Ray 0001, Yuming Wu, Enea Zaffanella
10.5555/3398761.3398821;Mohammadhosein Hasanbeig, Alessandro Abate, Daniel Kroening
10.1109/CDC42340.2020.9304029;Kyriakos Polymenakos, Luca Laurenti, Andrea Patane, Jan-Peter Calliess, Luca Cardelli, Marta Kwiatkowska, Alessandro Abate, Stephen J. Roberts
10.1007/978-3-030-60327-4_14;Gareth W. Molyneux, Alessandro Abate
10.1007/978-3-030-57628-8_1;Mohammadhosein Hasanbeig, Daniel Kroening, Alessandro Abate
;Francesco Cosentino, Harald Oberhauser, Alessandro Abate
