doi;coo_authors;num_authors;num_citation;num_institution;date;
10.23919/ECC.2019.8796279;Yuriy Zacchia Lun, Alessandro Abate, Alessandro D Innocenzo,;3;1;3;2019-06-01;
10.1016/J.IFACOL.2018.08.016;Yuriy Zacchia Lun, Jack Wheatley, Alessandro D Innocenzo, Alessandro Abate,;4;5;2;2018-01-01;
10.1109/CDC.2017.8264642;Yuriy Zacchia Lun, Alessandro D Innocenzo, Alessandro Abate, Maria Domenica Di Benedetto,;4;5;2;2018-01-18;
10.1145/2185632.2185673;Alessandro D Innocenzo, Alessandro Abate, Joost-Pieter Katoen,;3;0;4;2022-01-01;
10.1109/TAC.2011.2160595;Alessandro Abate, Alessandro D Innocenzo, Maria Domenica Di Benedetto,;3;53;2;2011-11-01;
10.1109/CDC.2008.4739270;Alessandro D Innocenzo, Alessandro Abate, Maria Domenica Di Benedetto,;3;8;2;2008-01-01;
10.1007/978-3-540-78929-1_1;Alessandro Abate, Alessandro D Innocenzo, Maria Domenica Di Benedetto, Shankar Sastry 0001,;4;14;3;2008-01-01;
10.1007/978-3-540-71493-4_48;Alessandro Abate, Alessandro D Innocenzo, Giordano Pola, Maria Domenica Di Benedetto, Shankar Sastry 0001,;5;1;3;2007-01-01;
10.4230/LIPICS.CONCUR.2021.22;Muhammad Syifa ul Mufid, Andrea Micheli, Alessandro Abate, Alessandro Cimatti,;4;0;2;2021-08-01;
10.1007/978-3-030-57628-8_10;Alessandro Abate, Alessandro Cimatti, Andrea Micheli, Muhammad Syifa ul Mufid,;4;2;2;2020-01-01;
10.29007/RJWN;Goran Frehse, Alessandro Abate, Dieky Adzkiya, Anna Becchi, Lei Bu, Alessandro Cimatti, Mirco Giacobbe, Alberto Griggio, Sergio Mover, Muhammad Syifa ul Mufid, Idriss Riouak, Stefano Tonetta, Enea Zaffanella,;13;8;9;2019-01-01;
10.1613/JAIR.1.14253;Thom S. Badings, Licio Romao, Alessandro Abate, David Parker 0001, Hasan A. Poonawala, Mariëlle Stoelinga, Nils Jansen 0001,;7;1;4;2023-01-01;
10.1016/J.AUTOMATICA.2022.110617;Abolfazl Lavaei, Sadegh Soudjani, Alessandro Abate, Majid Zamani 0001,;4;5;4;2022-12-01;
10.1016/J.IC.2022.104979;Luca Geretti, Alessandro Abate, Pierluigi Nuzzo, Tiziano Villa,;4;0;3;2022-01-01;
10.1016/J.IC.2022.104947;Ahmad Madary, Hamid Reza Momeni, Alessandro Abate, Kim G. Larsen,;4;1;4;2022-01-01;
10.1109/TAC.2021.3118335;Yulong Gao, Alessandro Abate, Frank J. Jiang, Mirco Giacobbe, Lihua Xie, Karl Henrik Johansson,;6;1;5;2022-10-01;
10.1109/TAC.2021.3090525;Muhammad Syifa ul Mufid, Dieky Adzkiya, Alessandro Abate,;3;1;2;2022-06-01;
