doi;coo_authors;year
10.48550/ARXIV.2303.02241;Kianoush Falahkheirkhah, Alex Lu, David Alvarez-Melis, Grace Huynh;2023
;Anna Yeaton, Rahul G. Krishnan, Rebecca J. Mieloszyk, David Alvarez-Melis, Grace Huynh;2022
10.48550/ARXIV.2204.08324;Anna Yeaton, Rahul G. Krishnan, Rebecca J. Mieloszyk, David Alvarez-Melis, Grace Huynh;2022
10.48550/ARXIV.2205.09838;David Alvarez-Melis, Vikas K. Garg, Adam Tauman Kalai;2022
10.48550/ARXIV.2208.02896;Neha Hulkund, Nicolò Fusi, Jennifer Wortman Vaughan, David Alvarez-Melis;2022
10.48550/ARXIV.2209.15621;Frederike Lübeck, Charlotte Bunne, Gabriele Gut, Jacobo Sarabia del Castillo, Lucas Pelkmans, David Alvarez-Melis;2022
10.48550/ARXIV.2210.03164;Ching-Yao Chuang, Stefanie Jegelka, David Alvarez-Melis;2022
10.48550/ARXIV.2210.13630;David Alvarez-Melis, Nicolò Fusi, Lester Mackey, Tal Wagner;2022
10.48550/ARXIV.2211.14469;Abhi Gupta, Ted Moskovitz, David Alvarez-Melis, Aldo Pacchiano;2022
;David Alvarez-Melis, Harmanpreet Kaur, Hal Daumé III, Hanna M. Wallach, Jennifer Wortman Vaughan;2021
;David Alvarez-Melis, Nicolò Fusi;2021
;David Alvarez-Melis, Harmanpreet Kaur, Hal Daumé III, Hanna M. Wallach, Jennifer Wortman Vaughan;2021
;David Alvarez-Melis, Yair Schiff, Youssef Mroueh;2021
;David Alvarez-Melis, Youssef Mroueh, Tommi S. Jaakkola;2020
;David Alvarez-Melis, Nicolò Fusi;2020
;David Alvarez-Melis, Nicoló Fusi;2020
;David Alvarez-Melis, Nicolò Fusi;2020
;David Alvarez-Melis, Stefanie Jegelka, Tommi S. Jaakkola;2019
;Guang-He Lee, David Alvarez-Melis, Tommi S. Jaakkola;2019
;Charlotte Bunne, David Alvarez-Melis, Andreas Krause 0001, Stefanie Jegelka;2019
;Guang-He Lee, Wengong Jin, David Alvarez-Melis, Tommi S. Jaakkola;2019
;Guang-He Lee, Wengong Jin, David Alvarez-Melis, Tommi S. Jaakkola;2019
;Charlotte Bunne, David Alvarez-Melis, Andreas Krause 0001, Stefanie Jegelka;2019
;Guang-He Lee, David Alvarez-Melis, Tommi S. Jaakkola;2019
;David Alvarez-Melis, Hal Daumé III, Jennifer Wortman Vaughan, Hanna M. Wallach;2019
;Hailey James-Sorenson, David Alvarez-Melis;2019
;David Alvarez-Melis, Youssef Mroueh, Tommi S. Jaakkola;2019
;David Alvarez-Melis, Tommi S. Jaakkola, Stefanie Jegelka;2018
10.18653/V1/D18-1214;David Alvarez-Melis, Tommi S. Jaakkola;2018
;Chengtao Li, David Alvarez-Melis, Keyulu Xu, Stefanie Jegelka, Suvrit Sra;2018
;David Alvarez-Melis, Tommi S. Jaakkola;2018
;David Alvarez-Melis, Tommi S. Jaakkola;2018
;David Alvarez-Melis, Tommi S. Jaakkola;2018
;David Alvarez-Melis, Stefanie Jegelka, Tommi S. Jaakkola;2018
;Guang-He Lee, David Alvarez-Melis, Tommi S. Jaakkola;2018
;David Alvarez-Melis, Tommi S. Jaakkola;2018
10.18653/V1/D17-1042;David Alvarez-Melis, Tommi S. Jaakkola;2017
;David Alvarez-Melis, Tommi S. Jaakkola;2017
;David Alvarez-Melis, Tommi S. Jaakkola;2017
;Chengtao Li, David Alvarez-Melis, Keyulu Xu, Stefanie Jegelka, Suvrit Sra;2017
;David Alvarez-Melis, Tommi S. Jaakkola, Stefanie Jegelka;2017
10.1162/TACL_A_00098;Tatsunori B. Hashimoto, David Alvarez-Melis, Tommi S. Jaakkola;2016
