doi;autor;pocet_citaci;pocet_autoru;pocet_instituci
10.1093/JIGPAL/JZI039;madostal;;;
10.1007/978-3-642-22098-2_26;madostal;;;
10.1007/978-3-642-22098-2_27;madostal;;;
10.1007/S00500-012-0875-8;madostal;;;
10.1007/978-3-642-30504-7_15;madostal;;;
10.1007/978-3-642-30504-7_37;madostal;;;
10.1007/3-540-47849-3_23;brada;;;
10.1145/503209.503250;brada;;;
10.1109/CMPSAC.2002.1045140;brada;;;
10.1109/ECBS.2004.1316706;brada;;;
10.1109/ISORC.2004.1300363;brada;;;
10.1109/EUROMICRO.2006.50;brada;;;
10.1007/978-3-540-87891-9_22;brada;;;
10.1109/SEAA.2008.51;brada;;;
10.1109/SEAA.2009.80;brada;;;
10.1109/SEAA.2009.91;brada;;;
10.1016/J.ENTCS.2010.07.005;brada;;;
10.1016/J.ENTCS.2011.02.002;brada;;;
10.1016/J.ENTCS.2011.11.009;brada;;;
10.1016/J.ENTCS.2011.11.012;brada;;;
10.1109/ECBS-EERC.2011.41;herout;;;
10.1007/978-3-642-32341-6_14;brada;;;
10.1007/978-3-642-25878-7_44;brada;;;
10.1109/SEAA.2012.48;brada;;;
10.1109/SEAA.2012.18;herout;;;
10.1109/IV.2012.17;brada;;;
10.1109/IV.2012.20;brada;;;
10.1007/978-3-642-30561-0_9;brada;;;
10.1109/VLHCC.2012.6344540;brada;;;
10.1109/VLHCC.2012.6344541;brada;;;
10.1109/VLHCC.2012.6344547;brada;;;
10.1109/CSMR.2013.53;brada;;;
10.1109/CSMR.2013.60;brada;;;
10.1109/EUROCON.2013.6625023;herout;;;
10.1109/SEAA.2013.58;brada;;;
10.1109/ICSM.2013.82;brada;;;
10.1007/978-3-642-35843-2_36;herout;;;
10.1109/VLHCC.2013.6645263;brada;;;
10.1109/CSMR-WCRE.2014.6747226;brada;;;
10.1016/J.INFSOF.2015.02.014;brada;;;
10.1016/J.SCICO.2014.06.013;brada;;;
10.1109/SEAA.2015.32;brada;;;
10.1007/S10664-015-9389-1;brada;;;
10.1109/CSEET.2016.33;herout;;;
10.1109/SEAA.2016.37;brada;;;
10.1007/978-3-662-49192-8_37;brada;;;
10.4230/LIPICS.ECOOP.2017.9;brada;;;
10.15439/2017F139;brada;;;
10.1109/ICSAW.2017.46;brada;;;
10.4230/DARTS.3.2.6;brada;;;
10.1145/3361149.3361178;brada;;;
10.1145/3361149.3361169;brada;;;
10.5220/0007579803300337;brada;;;
10.5220/0007472503960403;brada;;;
10.1109/SEAA51224.2020.00034;brada;;;
10.5220/0009164002880293;brada;;;
10.1016/J.PROCS.2020.03.151;brada;;;
10.1109/SEAA51224.2020.00024;brada;;;
10.1145/3384419.3430443;brada;;;
10.32473/FLAIRS.V34I1.128512;brada;;;
10.48550/ARXIV.2204.06816;brada;;;
10.1145/3524844.3528077;brada;;;
10.48550/ARXIV.2211.03116;brada;;;
10.1007/978-3-642-54903-8_35;pkral;;;
10.1109/DDECS.2008.4538772;dudacek;;;
10.3103/S0146411619030039;dudacek;;;
10.1109/ICAT47117.2019.8938958;dudacek;;;
10.1016/S0928-4869(00)00009-4;herout;;;
10.1007/3-540-36080-8_23;herout;;;
10.1109/OLT.2002.1030178;herout;;;
10.1109/UKSIM.2008.53;herout;;;
10.7148/2009-0151-0157;herout;;;
10.1007/978-3-642-33191-6_53;herout;;;
10.1109/ICST46399.2020.00059;herout;;;
10.1109/ICST49551.2021.00059;herout;;;
10.1007/11551874_45;moucek;;;
10.1007/978-3-540-87391-4_11;konopik;;;
10.1007/978-3-642-04208-9_42;konopik;;;
10.1007/978-3-642-04208-9_43;konopik;;;
10.1007/978-3-642-17313-4_37;konopik;;;
10.1007/978-3-642-15760-8_17;konopik;;;
10.1109/IDAACS.2011.6072829;konopik;;;
10.1007/978-3-642-23538-2_26;konopik;;;
10.1016/J.ESWA.2012.12.070;konopik;;;
10.1007/978-3-642-40585-3_20;konopik;;;
10.1016/J.CSL.2013.05.001;konopik;;;
10.1007/978-3-319-10816-2_33;konopik;;;
10.1016/J.CSL.2015.01.004;konopik;;;
10.1016/J.ESWA.2014.12.015;konopik;;;
10.1016/J.IPM.2014.08.006;konopik;;;
10.1007/978-3-319-23132-7_30;konopik;;;
10.1007/978-3-319-24033-6_7;konopik;;;
10.18653/V1/S16-1124;konopik;;;
10.26615/978-954-452-049-6_053;konopik;;;
10.26615/978-954-452-049-6_077;konopik;;;
10.1007/978-3-030-00794-2_6;konopik;;;
10.13053/CYS-23-3-3259;konopik;;;
10.26615/978-954-452-056-4_112;konopik;;;
10.1007/978-3-030-26061-3_45;konopik;;;
10.1007/978-3-030-90425-8_5;konopik;;;
10.1007/978-3-030-83527-9;konopik;;;
10.1007/978-3-031-16270-1_1;konopik;;;
10.48550/ARXIV.2203.14093;konopik;;;
10.48550/ARXIV.2209.07841;konopik;;;
10.48550/ARXIV.2209.12516;konopik;;;
10.1007/3-540-48239-3_49;kleckova;;;
10.1007/978-3-540-39398-6_40;kleckova;;;
